,post,label
0,covid total shutdown nagaland dimapur today state govern spokesperson covid neiba kronu said avail food grain essenti commod state continu normal press tust india kohima april ist end first week day nationwid lockdown district administr dimapur nagaland order total closur shop commerci privat establish impo restrict movement public vehicl hour,0
1,strand foreign nation mizoram due novel coronavirus shutdown request visit https co ul brt mrx know inform travel back home avail https co hgrx xmg f ministryoftour incredibleindia tourismgoi incredibleindia,0
2,covid how nagaland minist show how self quarantin minist paiwang p konyak travel histori covid affect place but decid self quarantin show peopl how take precautionari measur medolenuo ambrocia apr pm kohima nagaland confirm case covid state minist transport civil aviat railway land resourc paiwang p konyak self quarantin small,0
3,ict minist robert romawia royt launch new mobil app covid which download https co g summl eu,0
4,chinmay tumb author india move need better social secur intern migrant,0
5,nagaland launch app track high risk covid case bhadra gogoi dimapur march pm nagaland chief minist neiphiu rio saturday launch self declar covid nagaland app kohima make compulsori person who enter state march regist app offici app health famili welfar depart crucial track surveil high risk case therebi prevent spread,0
6,ict minist robert pu chuan roman royt covid chungchanga hriat wage war khawmna mcovid dah car applic chu vawiin suffer khan pisa ah tlangzarh co https g summlxeu ah download app hi theih,0
7,un postpon climat talk read,0
8,covid mizoram sound alert case spike ne state secur tighten along border assam tripura manipur check movement peopl deci follow surg coronavirus case neighbour state henri l khojol apr pm aizawl mizoram govern thursday sound alert beef secur along inter stati border follow spike novel coronavirus case neighbour state senior,0
9,press statement made mizoram polic covid relat social media rumor https co kar wxsda,0
10,mizoram updat corona april,0
11,anyon know where get candl nearbi modiji gather,1
12,ahmedabad roll coach covid isol west railway sleeper coach sleeper coach convert covid isol coach western railway ahmedabad westernr railminindia piyushgoy railwayseva https co fbhesbpwbz,0
13,how coronavirus transmit contact hand wash soap alcohol rub recommend explain simpl hindi,0
14,drdo india medic bio suit design keep safe virus param personnel covid which run test drdo but research develop organ work fight covid pandem gujhfwdept,0
15,kvorentaina person iti gujarat govern remov confound question helplin nam doctor mala tele medicin tele advic tele counsel,0
16,lockdownindia reduc sedentari time stand whenev possibl aim interrupt sit reclin time everi minut work sit postur phone watch tv must littl movement everi minut infogujarat pibahmedabad https co ad eou kd,0
17,yes,0
18,doctor civil hospit gurgaon develop covid treat patient without ppe docsneedgear https co jb h ljnii,0
19,staysaf,0
20,how startup bengaluru gurgaon fight covid https co ercm muxb,0
21,citizen come help vulner section communiti,0
22,coronavirus,0
23,dear sir dc gurugram kind appri per latest icmr list date privat lab gurugram which approv test covid request kind updat data accord thank https co aq yggrrde,0
24,hrd minist urg pvt school charg tuition,0
25,physician webinar covid aiim new delhi pm webinar iv schedul topic speaker discuss rapid creation covid icu prof anjan trikha manag aerosol generat medic procedur prof vimi rewari contact person prof ambuj roy fcic set facil aiim new delhi aiim setfacil gmail com registr need click live link view webinar,0
26,feed poser privat lab gurugram administr announc privat lab fr covid test haryana given list test centr permit carri covid test coronavirusupd indiafightscorona https co wuw jodvx,0
27,indiafightscorona pib india today civil servic union offici call upon work togeth synergi provid full cooper prime minist narendramodi war covid pandem video confer caruna https co mesm jz zf establish https tiksio x pmscmz,0
28,indiafightscorona shti omeshvela mohfw india pib india fib indi nib india what bore selfisol let us know avoid time bore self isol easi how besaf https tiksio kvzoz zkhi,0
29,corona deal epidem should support money come handi save someon life serv anyon need interest individu donat follow account indiafightscorona https tiksio tv ogd,0
30,corona expect crisi caution ray succeed era dark pm mr narendramodi live messag spread beam countri april pm minut lamp expect flashlight candl burn follow fnnodi indiafightscorona,0
31,state free food poor govern april made avail today industri la kdaun period charg fix power govern make cut salari state employ,0
32,https youtu qea fttnyk video focus social distanc stay home hide histori,0
33,remain lockdown home restrict corona crisi biggest deshsewa stay home chairman famous songwrit censor understand poetri prasoonjoshi g much larger contribut home lockdown shti omeshvela https tiksio iw aad uy,0
34,indiafightscovid mha issu addendum guidelin issu reg lockdown exempt shop agricultur machineri spare part inc suppli chain repair truck repair shop highway tea industri includ plantat max worker covid india https co xbmjdjeeff,0
35,virus caus covid transmit air studi date suggest virus caus covid main transmit contact respiratori droplet rather air see previous answer how covid spread sourc https www mohfw gov discuss what differ droplet transmiss airborn when speak cough sneez saliva come form spray go upto distanc metr infect organ saliva,0
36,strand foreign nation mizoram due novel coronavirus shutdown request visit https co ul brt mrx know inform travel back home avail https co hgrx xmg f ministryoftour incredibleindia tourismgoi incredibleindia,0
37,issu face migrant worker way mitig them,0
38,utmost pleasur announc extrem act duti genero excel shri p sreedharan pillaiji governor mizoram donat rs cm relief fund ongo fight covid mizoramsaysthankyou kanlawm mizoram https co nj xi zdox,0
39,twenti open but stock run out,0
40,what rapid antibodi test,1
41,general success junta curfew commend citi rural citi understand graviti event lot peopl ralli pm sunday hope help identifi where enforc curfew where self imposit work,0
42,exam get postpon,0
43,odisha data driven approach quarantin sharpli contrast modi govt,1
44,app track suspect case maharashtra,0
45,covid,0
46,virus caus covid transmit air studi date suggest virus caus covid main transmit contact respiratori droplet rather air see previous answer how covid spread sourc https www mohfw gov discuss what differ droplet transmiss airborn when speak cough sneez saliva come form spray go upto distanc metr infect organ saliva,0
47,suspect corona infect foreign cleric caught ranchi mosqu,0
48,read mythbust gov websit,0
49,safe receiv packag area where covid report yes likelihood infect person contamin commerci good low risk catch virus caus covid packag move travel expo differ condit temperatur low https www mohfw gov discuss common queri mani receiv milk packet veget fruit groceri news paper etc contamin what explain govt india,0
50,advisori elder,0
51,read covid hotspot,0
52,boost immun protocol staysaf,0
53,need shelter migrantsthankyoubhutia,1
54,follow simpl rule,0
55,peopl per reach home time crisi,0
56,given situat financ support sever disrupt sector infus liquid system prevent meltdown contagion financ market immedi prioriti govern,0
57,covid caught person who symptom main way disea spread respiratori droplet expel someon who cough risk catch covid someon symptom low mani peopl covid experi mild symptom particular true ear stage disea therefor possibl catch covid someon who exampl mild cough feel ill https www mohfw gov in,0
58,pvc poli bag,0
59,pms messag countri,0
60,dont believ whatsapp fact check first,0
61,https www indiatoday coronavirus outbreak stori coronavirus hotspot india govern identifi hotspot countri nizammudin dilshad garden delhi noida meerut uttar pradesh bhilwara rajasthan ahmedabad gujarat kasaragod pathanamthitta kerala mumbai pune maharashtra,0
